idx,s,kappa,v_ref,K00,K01,K10,K12
248,90.3909,-0.000890508,8,7.74814,7.98402,0,3.06386
249,90.9238,-0.000444639,8,7.74814,7.98402,0,3.06386
250,91.4569,0,8,7.74814,7.98402,0,3.06386
251,91.99,0.000444639,8,7.74814,7.98402,0,3.06386
252,92.5229,0.000890508,8,7.74814,7.98402,0,3.06386
253,93.0554,0.00133884,8,7.74814,7.98402,0,3.06386
254,93.5872,0.00179089,8,7.74814,7.98402,0,3.06386
255,94.1182,0.00224792,8,7.74814,7.98402,0,3.06386
256,94.6482,0.00271123,8,7.74814,7.98402,0,3.06386
257,95.1769,0.00318214,8,7.74814,7.98402,0,3.06386
258,95.7041,0.00366201,8,7.74814,7.98402,0,3.06386
259,96.2297,0.00415225,8,7.74814,7.98402,0,3.06386
260,96.7534,0.00465434,8,7.74814,7.98402,0,3.06386
261,97.275,0.00516978,8,7.74814,7.98402,0,3.06386
262,97.7944,0.00570018,8,7.74814,7.98402,0,3.06386
263,98.3113,0.00624721,8,7.74814,7.98402,0,3.06386
264,98.8256,0.00681264,8,7.74814,7.98402,0,3.06386
265,99.3369,0.0073983,8,7.74814,7.98402,0,3.06386
266,99.8453,0.00800618,8,7.74814,7.98402,0,3.06386
267,100.35,0.00863836,8,7.74814,7.98402,0,3.06386
268,100.852,0.00929704,8,7.74814,7.98402,0,3.06386
269,101.35,0.00998458,8,7.74814,7.98402,0,3.06386
270,101.845,0.0107035,8,7.74814,7.98402,0,3.06386
271,102.335,0.0114565,8,7.74814,7.98402,0,3.06386
272,102.821,0.0122463,8,7.74814,7.98402,0,3.06386
273,103.303,0.0130762,8,7.74814,7.98402,0,3.06386
274,103.781,0.0139493,8,7.74814,7.98402,0,3.06386
275,104.254,0.0148692,8,7.74814,7.98402,0,3.06386
276,104.722,0.0158396,8,7.74814,7.98402,0,3.06386
277,105.186,0.0168646,8,7.74814,7.98402,0,3.06386
278,105.644,0.0179485,8,7.74814,7.98402,0,3.06386
279,106.098,0.0190959,8,7.74814,7.98402,0,3.06386
280,106.546,0.0203118,8,7.74814,7.98402,0,3.06386
281,106.988,0.0216015,8,7.74814,7.98402,0,3.06386
282,107.426,0.0229705,8,7.74814,7.98402,0,3.06386
283,107.857,0.0244251,8,7.74814,7.98402,0,3.06386
284,108.283,0.0259715,8,7.74814,7.98402,0,3.06386
285,108.703,0.0276167,8,7.74814,7.98402,0,3.06386
286,109.118,0.0293678,8,7.74814,7.98402,0,3.06386
287,109.526,0.0312324,8,7.74814,7.98402,0,3.06386
288,109.928,0.0332185,8,7.74814,7.98402,0,3.06386
289,110.325,0.0353345,8,7.74814,7.98402,0,3.06386
290,110.715,0.037589,8,7.74814,7.98402,0,3.06386
291,111.099,0.0399909,8,7.74814,7.98402,0,3.06386
292,111.477,0.0425492,8,7.74814,7.98402,0,3.06386
293,111.849,0.0452731,8,7.74814,7.98402,0,3.06386
294,112.215,0.0481715,7.99142,7.75027,7.98471,0,3.06386
295,112.574,0.0512532,7.95697,7.7588,7.98747,0,3.06386
296,112.928,0.0545263,7.87096,7.78015,7.99437,0,3.06386
297,113.275,0.0579981,7.72538,7.81642,8.00605,0,3.06386
298,113.616,0.0616749,7.53056,7.86521,8.02165,0,3.06386
299,113.952,0.0655613,7.31457,7.91966,8.03891,0,3.06386
300,114.281,0.0696597,7.09689,7.9749,8.05627,0,3.06386
301,114.605,0.0739701,6.88737,8.02844,8.07295,0,3.06386
302,114.923,0.0784892,6.68652,8.08008,8.08891,0,3.06386
303,115.235,0.0832096,6.49447,8.12977,8.10415,0,3.06386
304,115.542,0.0881195,6.31133,8.17744,8.11865,0,3.06386
305,115.843,0.0932014,6.13724,8.223,8.13241,0,3.06386
306,116.14,0.0984321,5.97235,8.26639,8.14542,0,3.06386
307,116.431,0.103781,5.8168,8.30752,8.15768,0,3.06386
308,116.718,0.109211,5.67074,8.34633,8.16917,0,3.06386
309,117,0.114677,5.53433,8.38274,8.17989,0,3.06386
310,117.278,0.120127,5.40772,8.41667,8.18983,0,3.06386
311,117.552,0.125499,5.29107,8.44805,8.19897,0,3.06386
312,117.822,0.130728,5.18451,8.47681,8.20731,0,3.06386
313,118.088,0.135742,5.08818,8.5029,8.21485,0,3.06386
314,118.352,0.140464,5.00219,8.52626,8.22157,0,3.06386
315,118.612,0.144819,4.92667,8.54682,8.22747,0,3.06386
316,118.87,0.148729,4.86167,8.56456,8.23254,0,3.06386
317,119.126,0.152123,4.80728,8.57943,8.23678,0,3.06386
318,119.379,0.154938,4.76353,8.59141,8.24019,0,3.06386
319,119.632,0.157117,4.73044,8.60048,8.24277,0,3.06386
320,119.883,0.158621,4.70797,8.60665,8.24452,0,3.06386
321,120.133,0.159421,4.69609,8.60991,8.24544,0,3.06386
322,120.382,0.159507,4.69471,8.61029,8.24555,0,3.06386
323,120.632,0.158885,4.70373,8.60781,8.24485,0,3.06386
324,120.881,0.157577,4.72299,8.60252,8.24335,0,3.06386
325,121.131,0.15562,4.75232,8.59448,8.24106,0,3.06386
326,121.382,0.153064,4.7915,8.58375,8.23801,0,3.06386
327,121.634,0.14997,4.84031,8.5704,8.2342,0,3.06386
328,121.887,0.146406,4.89846,8.55451,8.22967,0,3.06386
329,122.142,0.142444,4.96567,8.53619,8.22442,0,3.06386
330,122.399,0.138158,5.04162,8.51554,8.21849,0,3.06386
331,122.658,0.133623,5.12595,8.49266,8.21189,0,3.06386
332,122.92,0.128909,5.21832,8.46768,8.20467,0,3.06386
333,123.184,0.124081,5.31832,8.4407,8.19683,0,3.06386
334,123.451,0.119199,5.42558,8.41187,8.18842,0,3.06386
335,123.721,0.114316,5.53966,8.38131,8.17947,0,3.06386
336,123.994,0.109479,5.66014,8.34915,8.17,0,3.06386
337,124.271,0.104725,5.78658,8.31554,8.16006,0,3.06386
338,124.551,0.100088,5.91854,8.2806,8.14966,0,3.06386
339,124.834,0.0955918,6.05554,8.24447,8.13886,0,3.06386
340,125.121,0.0912567,6.19712,8.2073,8.12768,0,3.06386
341,125.412,0.0870968,6.3428,8.16923,8.11616,0,3.06386
342,125.707,0.0831221,6.4921,8.13039,8.10433,0,3.06386
343,126.005,0.0793384,6.64454,8.09092,8.09224,0,3.06386
344,126.307,0.0757484,6.79961,8.05096,8.07993,0,3.06386
345,126.613,0.0723522,6.95681,8.01066,8.06743,0,3.06386
346,126.923,0.0691476,7.11564,7.97013,8.05478,0,3.06386
347,127.237,0.0661308,7.2756,7.92952,8.04202,0,3.06386
348,127.554,0.0632968,7.43616,7.88896,8.0292,0,3.06386
349,127.875,0.0606395,7.594,7.84929,8.01657,0,3.06386
350,128.2,0.0581525,7.73999,7.81277,8.00488,0,3.06386
351,128.528,0.0558285,7.85928,7.78305,7.99531,0,3.06386
352,128.86,0.0536605,7.93993,7.76303,7.98884,0,3.06386
353,129.195,0.051641,7.98191,7.75262,7.98547,0,3.06386
354,129.533,0.0497629,7.99696,7.7489,7.98426,0,3.06386
355,129.875,0.0480192,8,7.74814,7.98402,0,3.06386
356,130.22,0.0464029,8,7.74814,7.98402,0,3.06386
357,130.568,0.0449075,8,7.74814,7.98402,0,3.06386
358,130.919,0.0435269,8,7.74814,7.98402,0,3.06386
359,131.273,0.0422551,8,7.74814,7.98402,0,3.06386
360,131.629,0.0410867,8,7.74814,7.98402,0,3.06386
361,131.988,0.0400165,8,7.74814,7.98402,0,3.06386
362,132.349,0.0390399,8,7.74814,7.98402,0,3.06386
363,132.712,0.0381523,8,7.74814,7.98402,0,3.06386
364,133.078,0.0373499,8,7.74814,7.98402,0,3.06386
365,133.445,0.036629,8,7.74814,7.98402,0,3.06386
366,133.814,0.0359863,8,7.74814,7.98402,0,3.06386
367,134.185,0.0354189,8,7.74814,7.98402,0,3.06386
368,134.557,0.0349242,8,7.74814,7.98402,0,3.06386
369,134.93,0.0345,8,7.74814,7.98402,0,3.06386
370,135.304,0.0341443,8,7.74814,7.98402,0,3.06386
371,135.679,0.0338554,8,7.74814,7.98402,0,3.06386
372,136.055,0.0336321,8,7.74814,7.98402,0,3.06386
373,136.432,0.0334733,8,7.74814,7.98402,0,3.06386
374,136.808,0.0333783,8,7.74814,7.98402,0,3.06386
375,137.185,0.0333467,8,7.74814,7.98402,0,3.06386
376,137.562,0.0333783,8,7.74814,7.98402,0,3.06386
377,137.939,0.0334733,8,7.74814,7.98402,0,3.06386
378,138.315,0.0336321,8,7.74814,7.98402,0,3.06386
379,138.691,0.0338554,8,7.74814,7.98402,0,3.06386
380,139.067,0.0341443,8,7.74814,7.98402,0,3.06386
381,139.441,0.0345,8,7.74814,7.98402,0,3.06386
382,139.814,0.0349242,8,7.74814,7.98402,0,3.06386
383,140.186,0.0354189,8,7.74814,7.98402,0,3.06386
384,140.557,0.0359863,8,7.74814,7.98402,0,3.06386
385,140.926,0.036629,8,7.74814,7.98402,0,3.06386
386,141.293,0.0373499,8,7.74814,7.98402,0,3.06386
387,141.658,0.0381523,8,7.74814,7.98402,0,3.06386
388,142.022,0.0390399,8,7.74814,7.98402,0,3.06386
389,142.383,0.0400165,8,7.74814,7.98402,0,3.06386
390,142.742,0.0410867,8,7.74814,7.98402,0,3.06386
391,143.098,0.0422551,8,7.74814,7.98402,0,3.06386
392,143.452,0.0435269,8,7.74814,7.98402,0,3.06386
393,143.802,0.0449075,8,7.74814,7.98402,0,3.06386
394,144.15,0.0464029,8,7.74814,7.98402,0,3.06386
395,144.495,0.0480192,8,7.74814,7.98402,0,3.06386
396,144.837,0.0497629,7.99696,7.7489,7.98426,0,3.06386
397,145.176,0.051641,7.98191,7.75262,7.98547,0,3.06386
398,145.511,0.0536605,7.93993,7.76303,7.98884,0,3.06386
399,145.843,0.0558285,7.85928,7.78305,7.99531,0,3.06386
400,146.171,0.0581525,7.73999,7.81277,8.00488,0,3.06386
401,146.496,0.0606395,7.594,7.84929,8.01657,0,3.06386
402,146.817,0.0632968,7.43616,7.88896,8.0292,0,3.06386
403,147.134,0.0661308,7.2756,7.92952,8.04202,0,3.06386
404,147.448,0.0691476,7.11564,7.97013,8.05478,0,3.06386
405,147.757,0.0723522,6.95681,8.01066,8.06743,0,3.06386
406,148.063,0.0757484,6.79961,8.05096,8.07993,0,3.06386
407,148.365,0.0793384,6.64454,8.09092,8.09224,0,3.06386
408,148.664,0.0831221,6.4921,8.13039,8.10433,0,3.06386
409,148.958,0.0870968,6.3428,8.16923,8.11616,0,3.06386
410,149.249,0.0912567,6.19712,8.2073,8.12768,0,3.06386
411,149.536,0.0955918,6.05554,8.24447,8.13886,0,3.06386
412,149.82,0.100088,5.91854,8.2806,8.14966,0,3.06386
413,150.1,0.104725,5.78658,8.31554,8.16006,0,3.06386
414,150.376,0.109479,5.66014,8.34915,8.17,0,3.06386
415,150.65,0.114316,5.53966,8.38131,8.17947,0,3.06386
416,150.92,0.119199,5.42558,8.41187,8.18842,0,3.06386
417,151.187,0.124081,5.31832,8.4407,8.19683,0,3.06386
418,151.451,0.128909,5.21832,8.46768,8.20467,0,3.06386
419,151.713,0.133623,5.12595,8.49266,8.21189,0,3.06386
420,151.972,0.138158,5.04162,8.51554,8.21849,0,3.06386
421,152.229,0.142444,4.96567,8.53619,8.22442,0,3.06386
422,152.484,0.146406,4.89846,8.55451,8.22967,0,3.06386
423,152.737,0.14997,4.84031,8.5704,8.2342,0,3.06386
424,152.989,0.153064,4.7915,8.58375,8.23801,0,3.06386
425,153.24,0.15562,4.75232,8.59448,8.24106,0,3.06386
426,153.49,0.157577,4.72299,8.60252,8.24335,0,3.06386
427,153.739,0.158885,4.70373,8.60781,8.24485,0,3.06386
428,153.988,0.159507,4.69471,8.61029,8.24555,0,3.06386
429,154.238,0.159421,4.69609,8.60991,8.24544,0,3.06386
430,154.488,0.158621,4.70797,8.60665,8.24452,0,3.06386
431,154.739,0.157117,4.73044,8.60048,8.24277,0,3.06386
432,154.991,0.154938,4.76353,8.59141,8.24019,0,3.06386
433,155.245,0.152123,4.80728,8.57943,8.23678,0,3.06386
434,155.501,0.148729,4.86167,8.56456,8.23254,0,3.06386
435,155.758,0.144819,4.92667,8.54682,8.22747,0,3.06386
436,156.019,0.140464,5.00219,8.52626,8.22157,0,3.06386
437,156.282,0.135742,5.08818,8.5029,8.21485,0,3.06386
438,156.549,0.130728,5.18451,8.47681,8.20731,0,3.06386
439,156.819,0.125499,5.29107,8.44805,8.19897,0,3.06386
440,157.093,0.120127,5.40772,8.41667,8.18983,0,3.06386
441,157.371,0.114677,5.53433,8.38274,8.17989,0,3.06386
442,157.653,0.109211,5.67074,8.34633,8.16917,0,3.06386
443,157.94,0.103781,5.8168,8.30752,8.15768,0,3.06386
444,158.231,0.0984321,5.97235,8.26639,8.14542,0,3.06386
445,158.527,0.0932014,6.13724,8.223,8.13241,0,3.06386
446,158.829,0.0881195,6.31133,8.17744,8.11865,0,3.06386
447,159.136,0.0832096,6.49447,8.12977,8.10415,0,3.06386
448,159.448,0.0784892,6.68652,8.08008,8.08891,0,3.06386
449,159.766,0.0739701,6.88737,8.02844,8.07295,0,3.06386
450,160.089,0.0696597,7.09689,7.9749,8.05627,0,3.06386
451,160.419,0.0655613,7.31457,7.91966,8.03891,0,3.06386
452,160.754,0.0616749,7.53056,7.86521,8.02165,0,3.06386
453,161.095,0.0579981,7.72538,7.81642,8.00605,0,3.06386
454,161.443,0.0545263,7.87096,7.78015,7.99437,0,3.06386
455,161.796,0.0512532,7.95697,7.7588,7.98747,0,3.06386
456,162.156,0.0481715,7.99142,7.75027,7.98471,0,3.06386
457,162.521,0.0452731,8,7.74814,7.98402,0,3.06386
458,162.893,0.0425492,8,7.74814,7.98402,0,3.06386
459,163.271,0.0399909,8,7.74814,7.98402,0,3.06386
460,163.656,0.037589,8,7.74814,7.98402,0,3.06386
461,164.046,0.0353345,8,7.74814,7.98402,0,3.06386
462,164.442,0.0332185,8,7.74814,7.98402,0,3.06386
463,164.845,0.0312324,8,7.74814,7.98402,0,3.06386
464,165.253,0.0293678,8,7.74814,7.98402,0,3.06386
465,165.667,0.0276167,8,7.74814,7.98402,0,3.06386
466,166.087,0.0259715,8,7.74814,7.98402,0,3.06386
467,166.513,0.0244251,8,7.74814,7.98402,0,3.06386
468,166.945,0.0229705,8,7.74814,7.98402,0,3.06386
469,167.382,0.0216015,8,7.74814,7.98402,0,3.06386
470,167.825,0.0203118,8,7.74814,7.98402,0,3.06386
471,168.273,0.0190959,8,7.74814,7.98402,0,3.06386
472,168.726,0.0179485,8,7.74814,7.98402,0,3.06386
473,169.185,0.0168646,8,7.74814,7.98402,0,3.06386
474,169.648,0.0158396,8,7.74814,7.98402,0,3.06386
475,170.117,0.0148692,8,7.74814,7.98402,0,3.06386
476,170.59,0.0139493,8,7.74814,7.98402,0,3.06386
477,171.067,0.0130762,8,7.74814,7.98402,0,3.06386
478,171.549,0.0122463,8,7.74814,7.98402,0,3.06386
479,172.036,0.0114565,8,7.74814,7.98402,0,3.06386
480,172.526,0.0107035,8,7.74814,7.98402,0,3.06386
481,173.02,0.00998458,8,7.74814,7.98402,0,3.06386
482,173.518,0.00929704,8,7.74814,7.98402,0,3.06386
483,174.02,0.00863836,8,7.74814,7.98402,0,3.06386
484,174.525,0.00800618,8,7.74814,7.98402,0,3.06386
485,175.034,0.0073983,8,7.74814,7.98402,0,3.06386
486,175.545,0.00681264,8,7.74814,7.98402,0,3.06386
487,176.059,0.00624721,8,7.74814,7.98402,0,3.06386
488,176.576,0.00570018,8,7.74814,7.98402,0,3.06386
489,177.096,0.00516978,8,7.74814,7.98402,0,3.06386
490,177.617,0.00465434,8,7.74814,7.98402,0,3.06386
491,178.141,0.00415225,8,7.74814,7.98402,0,3.06386
492,178.666,0.00366201,8,7.74814,7.98402,0,3.06386
493,179.194,0.00318214,8,7.74814,7.98402,0,3.06386
494,179.722,0.00271123,8,7.74814,7.98402,0,3.06386
495,180.252,0.00224792,8,7.74814,7.98402,0,3.06386
496,180.783,0.00179089,8,7.74814,7.98402,0,3.06386
497,181.315,0.00133884,8,7.74814,7.98402,0,3.06386
498,181.848,0.000779283,8,7.74814,7.98402,0,3.06386
499,182.381,0.000444815,8,7.74814,7.98402,0,3.06386
